"City ","Link"
"Albuquerque, NM ","https://cabq.maps.arcgis.com/home/item.html?id=4fdd6509bb82403aa9937d478547f7e5#overview"
"Atlanta, GA 
","https://dpcd-coaplangis.opendata.arcgis.com/datasets/official-neighborhoods/explore"
"Austin, TX ","https://data.austintexas.gov/dataset/Boundaries-Austin-Neighborhood-Planning-Areas/nz5f-3t2e"
"Bakersfield, CA ","https://content.civicplus.com/api/assets/eaca2445-2253-4ccd-a9f8-83f7da9f4289"
"Baltimore, MD ","https://mapgallery-baltplanning.hub.arcgis.com/apps/d45903fd0a9e4132903920526fcafac7"
"Boston, MA","https://data.boston.gov/dataset/boston-neighborhood-boundaries-approximated-by-2020-census-block-groups"
"Calgary, AB 
","https://data.calgary.ca/d/sgha-miaw"
"Charlotte, NC
","https://data.charlottenc.gov/maps/downtown-wards-1"
"Chicago, IL ","https://data.cityofchicago.org/Community-Economic-Development/Boundaries-Planning-Districts-Historical/5xt8-wz7f"
"Cincinnati, OH ","https://utoronto.maps.arcgis.com/home/item.html?id=62289c467a0245c8b4357a57a7624dee"
"Cleveland, OH 
","https://planning.clevelandohio.gov/maps/OpenData.php "
"Colorado Springs, CO 
","https://coloradosprings.gov/document/downtownmaster-plan2016.pdf"
"Columbus, OH

","https://opendata.columbus.gov/datasets/columbus::area-and-neighborhood-land-use-plans/explore?location=39.960212%2C-83.000265%2C14.79"
"Dallas, TX ","https://egis.dallascityhall.com/resources/Downloads/ShpZip//pud_public/COD_Organizations.zip"
"Denver, CO ","https://www.denvergov.org/opendata/dataset/city-and-county-of-denver-statistical-neighborhoods"
"Detroit, MI ","https://data.detroitmi.gov/datasets/detroitmi::current-city-of-detroit-neighborhoods/explore?location=42.317835%2C-83.051252%2C11.73"
"Edmonton, AB ","https://data.edmonton.ca/City-Administration/City-of-Edmonton-Neighbourhoods-Map-View-/wps4-8auk"
"El Paso, TX","https://www.elev8ep.com/downtown"
"Fort Worth, TX 
","https://www.fortworthtexas.gov/files/assets/public/v/1/the-fwlab/documents/comprehensive-planning/adopted/appendix-c-final-2023-d.pdf"
"Fresno, CA ","https://gis-cityoffresno.hub.arcgis.com/datasets/f2f7aa8067484f339f603ae73100a1a3_0/explore?location=36.786854%2C-119.793798%2C11.38"
"Halifax, NS","https://catalogue-hrm.opendata.arcgis.com/datasets/HRM::community-plan-areas/explore?location=44.700756%2C-63.578191%2C11.78"
"Honolulu, HI","https://honolulu-cchnl.opendata.arcgis.com/maps/tod-plan-boundary"
"Houston, TX","https://www.houstontx.gov/planning/Demographics/2019%20Council%20District%20Profiles/Downtown_Final.pdf"
"Indianapolis, IN
","https://data.indy.gov/datasets/IndyGIS::indy-neighborhoods/explore"
"Jacksonville, FL ","https://dtjax.com/wp-content/uploads/2022/09/2022-State-of-Downtown-Report_Interactive.pdf"
"Kansas City, MO ","https://data.kcmo.org/Neighborhoods/Kansas-City-Neighborhood-Boundaries/q45j-ejyk"
"Las Vegas, NV","https://geocommons-lasvegas.opendata.arcgis.com/maps/downtown-master-plan-districts"
"London, ON 
","https://london.ca/sites/default/files/2023-06/10%20-%20The%20London%20Plan%20-%20Appendix%20One%20-%20Maps%20%28June%202023%29.pdf"
"Los Angeles, CA
","https://data.lacity.org/Housing-and-Real-Estate/Community-Plan-Area/pu8r-72kk"
"Louisville, KY","https://www.lojic.org/neighborhoods"
"Memphis, TN","https://www.memphis3point0.com/_files/ugd/100a0d_9002409df9fc400dbb63f56e864b3214.pdf"
"Miami, FL ","https://datahub-miamigis.opendata.arcgis.com/maps/downtown-development-authority-boundary"
"Milwaukee, WI
","https://city.milwaukee.gov/ImageLibrary/Groups/cityDCD/planning/plans/downtown1/images/DowntownMapBoundary.pdf"
"Minneapolis, MN","https://opendata.minneapolismn.gov/datasets/cityoflakes::minneapolis-neighborhoods/explore?location=44.973596%2C-93.260992%2C13.75"
"Mississauga, ON ","https://data.mississauga.ca/datasets/mississauga::mississauga-official-plan-2010-character-area-and-city-structure/explore?location=43.598640%2C-79.663770%2C12.05"
"Montreal, QC","https://smvt.maps.arcgis.com/apps/webappviewer/index.html?id=1525a850c1cf4b08afd7ea66d5e36fef"
"Nashville, TN","https://www.nashville.gov/sites/default/files/2022-11/next-vol3-Downtown_Amended2022.pdf?ct=1669061512"
"New Orleans, LA ","https://downtownnola.com/wp-content/uploads/2021/12/2021-Ranger-Card-FINAL.pdf"
"New York, NY","Community districts"
"Oakland, CA 
","https://data.oaklandca.gov/Property/Oakland-Neighborhoods/7zky-kcq9"
"Oklahoma City, OK 
","https://planokc.org/wp-content/uploads/2022/05/DDFUpdate.pdf"
"Omaha, NE ","https://planninghcd.cityofomaha.org/images/TIF_Documents/2022_TIF_Final_Document_FINAL.pdf"
"Orlando, FL 
","https://orlando-open-data-orl.hub.arcgis.com/datasets/orlando-land-use-cra/explore?location=28.529966%2C-81.374217%2C14.34"
"Ottawa, ON
","https://www.arcgis.com/apps/mapviewer/index.html?layers=32fe76b71c5e424fab19fec1f180ec18"
"Philadelphia, PA 

","https://opendataphilly.org/datasets/planning-districts/"
"Phoenix, AZ 
","https://mapping-phoenix.opendata.arcgis.com/datasets/Phoenix::villages/explore?location=33.456206%2C-112.112520%2C10.89
"
"Pittsburgh, PA ","https://pghgishub-pittsburghpa.opendata.arcgis.com/datasets/neighborhoods-/explore?location=40.430818%2C-79.979853%2C13.10"
"Portland, OR 
"," Portland Maps, The City of Portland. (2023). Nieghbourhood Regions. https://gis-pdx.opendata.arcgis.com/datasets/PDX::neighborhoods-regions/explore
"
"Quebec, QC 
","https://open.canada.ca/data/en/dataset/5b1ae6f2-6719-46df-bd2f-e57a7034c917/resource/d0592ba1-5f65-44db-94e5-5aaed440cf6d"
"Raleigh, NC ","https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/2030ComprehensivePlanUpdate.pdf"
"Sacramento, CA ","https://data.cityofsacramento.org/datasets/49f20f1612ae4f0a9292eb65f8bd4013_0/explore?location=38.559689%2C-121.474367%2C13.96"
"Salt Lake City, UT","  https://gis-slcgov.opendata.arcgis.com/datasets/slcgov::master-plan-areas/explore?location=40.770546%2C-111.864977%2C11.15
"
"San Antonio, TX 
","https://data.sanantonio.gov/dataset/neighborhood-community-and-perimeter-plans"
"San Diego, CA
","https://data.sandiego.gov/datasets/community-planning-district-boundaries/"
"San Francisco, CA 
","Data San Fransisco, City and County of San Fransisco. (2022). Analysis neighbourhoods.   Analysis Neighborhoods | DataSF | City and County of San Francisco
"
"San Jose, CA ","https://data.sanjoseca.gov/dataset/growth-areas-2040/resource/4d11b347-527d-49f8-9709-66f261c796d3"
"Seattle, WA","https://data.seattle.gov/dataset/Neighborhood-Map-Atlas-Neighborhoods/h6sh-ea6k"
"St. Louis, MO 
","City of St. Louis. (2018). Neighbourhoods.  https://www.stlouis-mo.gov/data/datasets/dataset.cfm?id=85"
"Tampa, FL ","https://city-tampa.opendata.arcgis.com/datasets/downtown-special-services-district/explore"
"Toronto, ON 
","https://www.toronto.ca/legdocs/mmis/2018/pg/bgrd/backgroundfile-114236.pdf
"
"Tucson, AZ","https://data-cotgis.opendata.arcgis.com/datasets/neighborhoods-1/explore?location=32.220026%2C-110.969730%2C14.00"
"Tulsa, OK 
","https://experience.arcgis.com/experience/dc8b5466c44e44218ab41dcdf1a81c33"
"Vancouver, BC 
","https://opendata.vancouver.ca/explore/dataset/local-area-boundary/map/?disjunctive.name&location=12,49.2474,-123.12402"
"Washington DC 

","https://opendata.dc.gov/maps/0f13b2649678462e9fea4ae1a9f6e668"
"Wichita, KS 
","https://data-cityofwichita.hub.arcgis.com/datasets/cityofwichita::wichita-neighborhood-associations/explore?location=37.691106%2C-97.336402%2C13.65"
"Winnipeg, MB 
","https://legacy.winnipeg.ca/ppd/CityPlanning/Downtown/default.stm
"
