"city","seasonal_average","display_title","region"
"Las Vegas",1.02636460966033,"Las Vegas, NV","Southwest"
"El Paso",0.965238638501394,"El Paso, TX","Southwest"
"San Jose",0.964918320398636,"San Jose, CA","Pacific"
"Bakersfield",0.945859468847414,"Bakersfield, CA","Pacific"
"Oklahoma City",0.929554481855815,"Oklahoma City, OK","Southwest"
"Miami",0.920359627811871,"Miami, FL","Southeast"
"Tucson",0.911952892467144,"Tucson, AZ","Southwest"
"Mississauga",0.911440825585151,"Mississauga, ON","Canada"
"Phoenix",0.891630832112041,"Phoenix, AZ","Southwest"
"Wichita",0.890966783601944,"Wichita, KS","Midwest"
"Omaha",0.880426022227232,"Omaha, NE","Midwest"
"Nashville",0.876595954849634,"Nashville, TN","Southeast"
"Colorado Springs",0.873607568119905,"Colorado Springs, CO","Southwest"
"Quebec",0.870927313810999,"Quebec, QC","Canada"
"Milwaukee",0.857170402444071,"Milwaukee, WI","Midwest"
"Atlanta",0.852568124208396,"Atlanta, GA","Southeast"
"Vancouver",0.852328257855662,"Vancouver, BC","Canada"
"Calgary",0.85187822148427,"Calgary, AB","Canada"
"Halifax",0.849515942477487,"Halifax, NS","Canada"
"Los Angeles",0.831905069522817,"Los Angeles, CA","Pacific"
"Ottawa",0.822822023762245,"Ottawa, ON","Canada"
"Tulsa",0.821499104708219,"Tulsa, OK","Southwest"
"Salt Lake City",0.819177751088665,"Salt Lake City, UT","Southwest"
"Tampa",0.806812320638388,"Tampa, FL","Southeast"
"Fort Worth",0.801332894197183,"Fort Worth, TX","Southwest"
"Edmonton",0.79927761910536,"Edmonton, AB","Canada"
"San Diego",0.796466853644414,"San Diego, CA","Pacific"
"Indianapolis",0.793680519557432,"Indianapolis, IN","Midwest"
"Orlando",0.791095318909765,"Orlando, FL","Southeast"
"London",0.790509862054023,"London, ON","Canada"
"Cleveland",0.781381481918943,"Cleveland, OH","Midwest"
"Winnipeg",0.761320122003225,"Winnipeg, MB","Canada"
"San Antonio",0.758478141447656,"San Antonio, TX","Southwest"
"Honolulu",0.758182010367668,"Honolulu, HI","Pacific"
"Charlotte",0.745151012339772,"Charlotte, NC","Southeast"
"New Orleans",0.744811405443444,"New Orleans, LA","Southeast"
"Oakland",0.743834816934551,"Oakland, CA","Pacific"
"Memphis",0.739803598655364,"Memphis, TN","Southeast"
"Kansas City",0.738697644141633,"Kansas City, MO","Midwest"
"Austin",0.726433542391595,"Austin, TX","Southwest"
"Fresno",0.71832652409348,"Fresno, CA","Pacific"
"Dallas",0.702780863338522,"Dallas, TX","Southwest"
"Jacksonville",0.702452590029022,"Jacksonville, FL","Southeast"
"Boston",0.702302144198704,"Boston, MA","Northeast"
"Toronto",0.697519534031847,"Toronto, ON","Canada"
"Washington DC",0.68505703730598,"Washington DC","Northeast"
"Baltimore",0.677724457482987,"Baltimore, MD","Northeast"
"San Francisco",0.673164327421333,"San Francisco, CA","Pacific"
"Philadelphia",0.672484329496864,"Philadelphia, PA","Northeast"
"Montreal",0.669858490739191,"Montreal, QC","Canada"
"Denver",0.66794486022482,"Denver, CO","Southwest"
"Pittsburgh",0.662843889177992,"Pittsburgh, PA","Northeast"
"Albuquerque",0.662453049462028,"Albuquerque, NM","Southwest"
"New York",0.658605539412826,"New York, NY","Northeast"
"Detroit",0.658492057083498,"Detroit, MI","Midwest"
"Sacramento",0.657146143816075,"Sacramento, CA","Pacific"
"Cincinnati",0.644403997291466,"Cincinnati, OH","Midwest"
"Houston",0.639464348191383,"Houston, TX","Southwest"
"Raleigh",0.632144242390279,"Raleigh, NC","Southeast"
"Chicago",0.614576625554533,"Chicago, IL","Midwest"
"Portland",0.60787214632729,"Portland, OR","Pacific"
"Columbus",0.565491365183843,"Columbus, OH","Midwest"
"Seattle",0.56507236523636,"Seattle, WA","Pacific"
"Minneapolis",0.555528987671666,"Minneapolis, MN","Midwest"
"Louisville",0.542219286509983,"Louisville, KY","Midwest"
"St Louis",0.53158900009084,"St. Louis, MO","Midwest"
